,property_type
Entire apartment,138989
Private room in apartment,47322
Private room in house,13292
Entire house,13273
Entire condominium,11250
Room in boutique hotel,5705
Entire loft,4587
Private room in condominium,4462
Private room in bed and breakfast,4238
Entire serviced apartment,3973
Room in hotel,3161
Private room in townhouse,2959
Shared room in apartment,2420
Entire townhouse,2331
Entire guest suite,2273
Private room in serviced apartment,1542
Entire villa,1508
Room in aparthotel,1495
Private room in guest suite,1370
Private room in guesthouse,1337
Private room in hostel,1232
Entire guesthouse,1084
Room in bed and breakfast,1044
Private room in loft,922
Room in serviced apartment,859
Shared room in hostel,824
Shared room in house,637
Room in hostel,574
Private room in villa,563
Entire cottage,562
Private room,452
Tiny house,287
Entire bungalow,245
Entire place,231
Shared room in condominium,199
Shared room in bed and breakfast,167
Private room in tiny house,154
Private room in bungalow,120
Shared room in townhouse,107
Entire cabin,91
Shared room in loft,89
Shared room in guesthouse,83
Farm stay,80
Private room in casa particular,77
Entire home/apt,70
Boat,69
Private room in farm stay,69
Private room in cottage,62
Shared room in serviced apartment,58
Camper/RV,55
Private room in cabin,53
Shared room in guest suite,50
Entire chalet,50
Private room in nature lodge,50
Private room in earth house,48
Entire bed and breakfast,46
Private room in resort,39
Shared room in boutique hotel,37
Casa particular,33
Earth house,31
Shared room in yurt,30
Shared room in villa,29
Private room in chalet,22
Shared room in tiny house,22
Private room in boat,20
Entire floor,20
Dome house,20
Room in nature lodge,20
Shared room,18
Houseboat,18
Private room in kezhan,18
Private room in dome house,17
Private room in barn,14
Campsite,14
Private room in hut,12
Island,12
Castle,12
Entire resort,11
Private room in camper/rv,11
Tent,11
Shared room in earth house,11
Barn,10
Shared room in hotel,10
Shared room in casa particular,9
Private room in floor,9
Private room in minsu,9
Private room in castle,8
Room in apartment,8
Private room in yurt,8
Shared room in cabin,8
Shared room in dorm,8
Treehouse,8
Private room in houseboat,7
Entire hostel,7
Private room in treehouse,7
Private room in tent,7
Room in casa particular,6
Private room in dorm,6
Private room in island,6
Shared room in dome house,6
Shared room in aparthotel,5
Cave,5
Shared room in chalet,5
Room in pension,4
Shared room in cave,4
Lighthouse,4
Yurt,4
Room in resort,4
Shared room in bungalow,4
Shared room in cottage,3
Entire dorm,3
Room in guesthouse,3
Hut,3
Pension,3
Private room in pension,2
Private room in pousada,2
Shared room in nature lodge,2
Shared room in island,2
Shared room in castle,2
Shared room in boat,2
Private room in bus,2
Bus,2
Shared room in kezhan,2
Private room in lighthouse,2
Private room in tipi,2
Shared room in pension,2
Shared room in farm stay,2
Entire vacation home,2
Private room in in-law,2
Private room in train,2
Shared room in parking space,1
Room in heritage hotel,1
Private room in holiday park,1
Private room in cave,1
Igloo,1
Holiday park,1
Shared room in igloo,1
Shared room in floor,1
Entire in-law,1
Windmill,1
Shared room in hut,1
Train,1
Shared room in tent,1
Tipi,1
